date,product,price,quantity,revenue
2026-01-02,Brown Sugar Boba,6.86,1,6.86
2026-01-02,Classic Milk Tea,4.72,2,9.44
2026-01-02,Matcha Latte,4.71,2,9.42
2026-01-02,Taro Milk Tea,6.72,2,13.44
2026-01-02,Matcha Latte,5.86,3,17.58
2026-01-02,Classic Milk Tea,5.94,1,5.94
2026-01-02,Taro Milk Tea,5.79,3,17.37
2026-01-02,Taro Milk Tea,5.82,2,11.64
2026-01-02,Matcha Latte,5.48,2,10.96
2026-01-02,Matcha Latte,4.81,2,9.62
2026-01-02,Taro Milk Tea,5.83,3,17.49
2026-01-02,Taro Milk Tea,6.57,1,6.57
2026-01-02,Brown Sugar Boba,6.81,2,13.62
2026-01-02,Thai Tea,5.81,3,17.43
2026-01-02,Thai Tea,6.8,1,6.8
2026-01-02,Thai Tea,5.41,2,10.82
2026-01-02,Taro Milk Tea,5.22,2,10.44
2026-01-02,Matcha Latte,6.58,3,19.74
2026-01-02,Matcha Latte,5.64,3,16.92
2026-01-02,Matcha Latte,6.59,3,19.77
2026-01-02,Classic Milk Tea,6.87,1,6.87
2026-01-02,Thai Tea,5.92,1,5.92
2026-01-02,Matcha Latte,7.15,3,21.45
2026-01-02,Brown Sugar Boba,7.0,3,21.0
2026-01-02,Brown Sugar Boba,5.94,1,5.94
2026-01-02,Taro Milk Tea,6.41,3,19.23
2026-01-02,Thai Tea,6.81,2,13.62
2026-01-02,Taro Milk Tea,6.35,2,12.7
2026-01-02,Matcha Latte,6.16,3,18.48
2026-01-02,Classic Milk Tea,5.75,2,11.5
2026-01-02,Taro Milk Tea,5.93,3,17.79
2026-01-02,Taro Milk Tea,7.42,1,7.42
2026-01-02,Thai Tea,5.41,1,5.41
2026-01-02,Classic Milk Tea,6.87,2,13.74
2026-01-02,Matcha Latte,5.65,3,16.95
2026-01-02,Brown Sugar Boba,7.32,3,21.96
2026-01-02,Classic Milk Tea,4.82,2,9.64
2026-01-02,Classic Milk Tea,5.1,3,15.3
2026-01-03,Taro Milk Tea,5.14,2,10.28
2026-01-03,Matcha Latte,4.73,2,9.46
2026-01-03,Matcha Latte,4.8,3,14.4
2026-01-03,Brown Sugar Boba,4.9,2,9.8
2026-01-03,Brown Sugar Boba,6.26,1,6.26
2026-01-03,Classic Milk Tea,4.51,3,13.53
2026-01-03,Brown Sugar Boba,4.76,2,9.52
2026-01-03,Thai Tea,6.05,3,18.15
2026-01-03,Taro Milk Tea,7.04,2,14.08
2026-01-03,Thai Tea,5.3,3,15.9
2026-01-03,Matcha Latte,4.9,1,4.9
2026-01-03,Classic Milk Tea,5.27,2,10.54
2026-01-03,Taro Milk Tea,5.18,3,15.54
2026-01-03,Thai Tea,6.75,3,20.25
2026-01-03,Matcha Latte,5.92,3,17.76
2026-01-03,Classic Milk Tea,6.76,2,13.52
2026-01-03,Brown Sugar Boba,6.35,2,12.7
2026-01-03,Matcha Latte,5.52,3,16.56
2026-01-03,Matcha Latte,5.72,3,17.16
2026-01-03,Classic Milk Tea,7.3,2,14.6
2026-01-03,Classic Milk Tea,7.49,1,7.49
2026-01-03,Classic Milk Tea,6.19,3,18.57
2026-01-03,Brown Sugar Boba,7.31,3,21.93
2026-01-03,Taro Milk Tea,6.42,1,6.42
2026-01-03,Taro Milk Tea,6.73,2,13.46
2026-01-03,Matcha Latte,4.76,3,14.28
2026-01-03,Thai Tea,6.41,3,19.23
2026-01-03,Taro Milk Tea,7.16,3,21.48
2026-01-03,Matcha Latte,7.12,2,14.24
2026-01-03,Brown Sugar Boba,5.83,3,17.49
2026-01-03,Thai Tea,5.31,1,5.31
2026-01-03,Brown Sugar Boba,6.98,3,20.94
2026-01-03,Brown Sugar Boba,6.18,1,6.18
2026-01-03,Thai Tea,4.86,2,9.72
2026-01-03,Brown Sugar Boba,7.21,2,14.42
2026-01-03,Classic Milk Tea,6.73,2,13.46
2026-01-03,Thai Tea,4.81,2,9.62
2026-01-03,Brown Sugar Boba,4.7,3,14.1
2026-01-03,Taro Milk Tea,6.79,3,20.37
2026-01-03,Classic Milk Tea,6.98,3,20.94
2026-01-03,Thai Tea,6.07,2,12.14
2026-01-03,Brown Sugar Boba,6.85,1,6.85
2026-01-03,Matcha Latte,7.04,1,7.04
2026-01-03,Taro Milk Tea,5.13,2,10.26
2026-01-03,Brown Sugar Boba,6.43,2,12.86
2026-01-04,Thai Tea,6.6,1,6.6
2026-01-04,Classic Milk Tea,6.79,2,13.58
2026-01-04,Thai Tea,5.53,2,11.06
2026-01-04,Matcha Latte,5.08,2,10.16
2026-01-04,Thai Tea,5.2,1,5.2
2026-01-04,Taro Milk Tea,7.1,1,7.1
2026-01-04,Matcha Latte,6.98,2,13.96
2026-01-04,Brown Sugar Boba,4.65,2,9.3
2026-01-04,Taro Milk Tea,6.06,3,18.18
2026-01-04,Matcha Latte,4.6,1,4.6
2026-01-04,Thai Tea,6.05,1,6.05
2026-01-04,Thai Tea,7.47,1,7.47
2026-01-04,Matcha Latte,5.45,2,10.9
2026-01-04,Thai Tea,6.57,1,6.57
2026-01-04,Taro Milk Tea,5.19,2,10.38
2026-01-04,Brown Sugar Boba,6.77,1,6.77
2026-01-04,Taro Milk Tea,6.63,3,19.89
2026-01-04,Taro Milk Tea,5.72,1,5.72
2026-01-04,Classic Milk Tea,4.78,1,4.78
2026-01-04,Brown Sugar Boba,5.65,3,16.95
2026-01-04,Brown Sugar Boba,7.07,1,7.07
2026-01-04,Thai Tea,6.11,2,12.22
2026-01-04,Classic Milk Tea,6.0,3,18.0
2026-01-04,Brown Sugar Boba,7.21,2,14.42
2026-01-04,Matcha Latte,7.02,3,21.06
2026-01-04,Taro Milk Tea,5.75,2,11.5
2026-01-04,Brown Sugar Boba,5.04,2,10.08
2026-01-04,Brown Sugar Boba,4.93,3,14.79
2026-01-04,Thai Tea,6.22,1,6.22
2026-01-04,Classic Milk Tea,6.23,2,12.46
2026-01-04,Brown Sugar Boba,6.36,1,6.36
2026-01-04,Matcha Latte,5.67,3,17.01
2026-01-04,Brown Sugar Boba,7.16,3,21.48
2026-01-04,Matcha Latte,6.5,2,13.0
2026-01-04,Thai Tea,7.32,2,14.64
2026-01-04,Classic Milk Tea,6.51,1,6.51
2026-01-04,Brown Sugar Boba,6.8,2,13.6
2026-01-04,Thai Tea,6.13,3,18.39
2026-01-04,Brown Sugar Boba,6.29,3,18.87
2026-01-04,Brown Sugar Boba,6.28,2,12.56
2026-01-04,Brown Sugar Boba,4.92,2,9.84
2026-01-04,Taro Milk Tea,5.12,2,10.24
2026-01-04,Matcha Latte,6.74,2,13.48
2026-01-04,Brown Sugar Boba,5.54,2,11.08
2026-01-04,Thai Tea,4.52,1,4.52
2026-01-04,Brown Sugar Boba,6.07,1,6.07
2026-01-04,Matcha Latte,5.68,3,17.04
2026-01-04,Brown Sugar Boba,7.49,3,22.47
2026-01-04,Thai Tea,7.15,2,14.3
2026-01-05,Taro Milk Tea,7.36,2,14.72
2026-01-05,Classic Milk Tea,6.04,2,12.08
2026-01-05,Classic Milk Tea,5.18,1,5.18
2026-01-05,Taro Milk Tea,4.83,1,4.83
2026-01-05,Thai Tea,7.23,3,21.69
2026-01-05,Thai Tea,4.95,1,4.95
2026-01-05,Thai Tea,6.53,3,19.59
2026-01-05,Classic Milk Tea,7.05,1,7.05
2026-01-05,Matcha Latte,6.1,1,6.1
2026-01-05,Classic Milk Tea,6.11,1,6.11
2026-01-05,Matcha Latte,7.24,2,14.48
2026-01-05,Brown Sugar Boba,6.94,2,13.88
2026-01-05,Classic Milk Tea,4.89,3,14.67
2026-01-05,Classic Milk Tea,7.2,1,7.2
2026-01-05,Thai Tea,4.96,2,9.92
2026-01-05,Matcha Latte,5.34,3,16.02
2026-01-05,Thai Tea,5.08,2,10.16
2026-01-05,Brown Sugar Boba,4.99,2,9.98
2026-01-05,Brown Sugar Boba,7.06,2,14.12
2026-01-05,Matcha Latte,5.09,2,10.18
2026-01-05,Classic Milk Tea,6.04,3,18.12
2026-01-05,Classic Milk Tea,6.36,3,19.08
2026-01-05,Classic Milk Tea,6.67,1,6.67
2026-01-05,Matcha Latte,7.34,2,14.68
2026-01-05,Thai Tea,6.3,1,6.3
2026-01-05,Brown Sugar Boba,6.49,3,19.47
2026-01-05,Matcha Latte,4.79,1,4.79
2026-01-05,Classic Milk Tea,6.62,3,19.86
2026-01-05,Taro Milk Tea,5.94,2,11.88
2026-01-05,Taro Milk Tea,6.01,2,12.02
2026-01-05,Thai Tea,4.88,2,9.76
2026-01-05,Thai Tea,5.45,2,10.9
2026-01-05,Classic Milk Tea,7.38,3,22.14
2026-01-05,Classic Milk Tea,5.44,1,5.44
2026-01-05,Taro Milk Tea,7.28,2,14.56
2026-01-05,Classic Milk Tea,5.97,1,5.97
2026-01-05,Thai Tea,7.42,1,7.42
2026-01-05,Classic Milk Tea,5.91,1,5.91
2026-01-05,Matcha Latte,6.72,3,20.16
2026-01-05,Taro Milk Tea,5.53,2,11.06
2026-01-05,Brown Sugar Boba,7.33,2,14.66
2026-01-06,Classic Milk Tea,6.56,2,13.12
2026-01-06,Thai Tea,7.05,3,21.15
2026-01-06,Taro Milk Tea,4.95,3,14.85
2026-01-06,Brown Sugar Boba,5.92,1,5.92
2026-01-06,Classic Milk Tea,5.57,2,11.14
2026-01-06,Thai Tea,6.76,2,13.52
2026-01-06,Classic Milk Tea,7.12,3,21.36
2026-01-06,Classic Milk Tea,7.49,3,22.47
2026-01-06,Brown Sugar Boba,5.45,2,10.9
2026-01-06,Brown Sugar Boba,7.16,3,21.48
2026-01-06,Classic Milk Tea,6.61,1,6.61
2026-01-06,Brown Sugar Boba,4.79,1,4.79
2026-01-06,Brown Sugar Boba,6.38,1,6.38
2026-01-06,Thai Tea,6.39,3,19.17
2026-01-06,Taro Milk Tea,4.81,1,4.81
2026-01-06,Taro Milk Tea,6.34,1,6.34
2026-01-06,Classic Milk Tea,4.88,1,4.88
2026-01-06,Thai Tea,6.74,3,20.22
2026-01-06,Classic Milk Tea,4.73,2,9.46
2026-01-06,Matcha Latte,5.48,3,16.44
2026-01-06,Brown Sugar Boba,4.55,1,4.55
2026-01-06,Taro Milk Tea,6.35,1,6.35
2026-01-06,Classic Milk Tea,5.33,1,5.33
2026-01-06,Matcha Latte,6.65,3,19.95
2026-01-06,Thai Tea,5.57,1,5.57
2026-01-06,Thai Tea,6.41,2,12.82
2026-01-06,Matcha Latte,6.72,2,13.44
2026-01-06,Thai Tea,5.14,1,5.14
2026-01-06,Taro Milk Tea,5.14,1,5.14
2026-01-06,Taro Milk Tea,7.05,2,14.1
2026-01-06,Brown Sugar Boba,6.47,3,19.41
2026-01-06,Taro Milk Tea,7.22,1,7.22
2026-01-06,Brown Sugar Boba,5.84,1,5.84
2026-01-06,Taro Milk Tea,4.53,2,9.06
2026-01-06,Matcha Latte,6.49,2,12.98
2026-01-06,Classic Milk Tea,5.53,1,5.53
2026-01-06,Thai Tea,7.26,1,7.26
2026-01-06,Brown Sugar Boba,6.33,1,6.33
2026-01-06,Taro Milk Tea,6.71,1,6.71
2026-01-06,Taro Milk Tea,6.46,2,12.92
2026-01-06,Brown Sugar Boba,5.27,2,10.54
2026-01-07,Brown Sugar Boba,5.25,2,10.5
2026-01-07,Matcha Latte,6.95,3,20.85
2026-01-07,Brown Sugar Boba,5.01,2,10.02
2026-01-07,Classic Milk Tea,6.99,1,6.99
2026-01-07,Thai Tea,5.75,2,11.5
2026-01-07,Brown Sugar Boba,6.57,1,6.57
2026-01-07,Taro Milk Tea,6.78,1,6.78
2026-01-07,Matcha Latte,5.28,1,5.28
2026-01-07,Classic Milk Tea,5.03,2,10.06
2026-01-07,Matcha Latte,5.42,3,16.26
2026-01-07,Classic Milk Tea,6.3,2,12.6
2026-01-07,Thai Tea,5.32,1,5.32
2026-01-07,Matcha Latte,6.77,2,13.54
2026-01-07,Brown Sugar Boba,5.26,2,10.52
2026-01-07,Classic Milk Tea,5.96,1,5.96
2026-01-07,Classic Milk Tea,5.58,1,5.58
2026-01-07,Thai Tea,5.5,2,11.0
2026-01-07,Thai Tea,6.48,1,6.48
2026-01-07,Matcha Latte,5.43,3,16.29
2026-01-07,Brown Sugar Boba,7.43,3,22.29
2026-01-07,Thai Tea,4.58,2,9.16
2026-01-07,Brown Sugar Boba,4.68,2,9.36
2026-01-07,Brown Sugar Boba,5.94,3,17.82
2026-01-07,Classic Milk Tea,5.29,2,10.58
2026-01-07,Brown Sugar Boba,6.9,2,13.8
2026-01-07,Taro Milk Tea,4.57,1,4.57
2026-01-07,Classic Milk Tea,4.86,3,14.58
2026-01-07,Taro Milk Tea,7.04,1,7.04
2026-01-07,Classic Milk Tea,7.19,2,14.38
2026-01-08,Brown Sugar Boba,5.2,3,15.6
2026-01-08,Thai Tea,6.03,2,12.06
2026-01-08,Brown Sugar Boba,7.01,1,7.01
2026-01-08,Thai Tea,5.2,1,5.2
2026-01-08,Matcha Latte,4.58,3,13.74
2026-01-08,Taro Milk Tea,5.54,2,11.08
2026-01-08,Taro Milk Tea,6.75,1,6.75
2026-01-08,Taro Milk Tea,6.94,2,13.88
2026-01-08,Thai Tea,6.14,1,6.14
2026-01-08,Matcha Latte,7.28,2,14.56
2026-01-08,Matcha Latte,6.84,3,20.52
2026-01-08,Matcha Latte,6.06,1,6.06
2026-01-08,Brown Sugar Boba,4.72,2,9.44
2026-01-08,Matcha Latte,6.93,3,20.79
2026-01-08,Taro Milk Tea,7.21,3,21.63
2026-01-08,Brown Sugar Boba,5.83,3,17.49
2026-01-08,Matcha Latte,5.97,1,5.97
2026-01-08,Brown Sugar Boba,5.57,3,16.71
2026-01-08,Brown Sugar Boba,4.64,2,9.28
2026-01-08,Taro Milk Tea,7.43,2,14.86
2026-01-08,Classic Milk Tea,7.48,1,7.48
2026-01-08,Brown Sugar Boba,6.73,2,13.46
2026-01-08,Brown Sugar Boba,5.17,1,5.17
2026-01-08,Classic Milk Tea,7.35,1,7.35
2026-01-08,Taro Milk Tea,4.89,3,14.67
2026-01-08,Thai Tea,4.7,1,4.7
2026-01-08,Brown Sugar Boba,5.7,2,11.4
2026-01-08,Classic Milk Tea,7.16,2,14.32
2026-01-08,Brown Sugar Boba,6.23,1,6.23
2026-01-08,Brown Sugar Boba,5.52,2,11.04
2026-01-08,Brown Sugar Boba,4.79,1,4.79
2026-01-08,Classic Milk Tea,7.43,3,22.29
2026-01-08,Brown Sugar Boba,6.54,2,13.08
2026-01-08,Brown Sugar Boba,5.43,3,16.29
2026-01-08,Classic Milk Tea,6.65,1,6.65
2026-01-09,Brown Sugar Boba,5.99,3,17.97
2026-01-09,Brown Sugar Boba,4.68,1,4.68
2026-01-09,Taro Milk Tea,5.86,1,5.86
2026-01-09,Thai Tea,7.12,3,21.36
2026-01-09,Classic Milk Tea,6.61,2,13.22
2026-01-09,Thai Tea,5.1,3,15.3
2026-01-09,Brown Sugar Boba,4.58,2,9.16
2026-01-09,Brown Sugar Boba,4.7,2,9.4
2026-01-09,Classic Milk Tea,6.4,1,6.4
2026-01-09,Taro Milk Tea,6.8,3,20.4
2026-01-09,Classic Milk Tea,5.1,1,5.1
2026-01-09,Matcha Latte,6.68,1,6.68
2026-01-09,Matcha Latte,5.21,3,15.63
2026-01-09,Brown Sugar Boba,5.76,3,17.28
2026-01-09,Thai Tea,5.53,2,11.06
2026-01-09,Thai Tea,7.29,2,14.58
2026-01-09,Matcha Latte,5.64,3,16.92
2026-01-09,Matcha Latte,7.4,2,14.8
2026-01-09,Classic Milk Tea,6.82,3,20.46
2026-01-09,Taro Milk Tea,6.86,2,13.72
2026-01-09,Thai Tea,6.62,1,6.62
2026-01-09,Brown Sugar Boba,7.46,3,22.38
2026-01-09,Brown Sugar Boba,5.53,3,16.59
2026-01-09,Classic Milk Tea,4.53,2,9.06
2026-01-09,Matcha Latte,5.55,1,5.55
2026-01-09,Thai Tea,4.94,2,9.88
2026-01-09,Taro Milk Tea,6.08,3,18.24
2026-01-09,Brown Sugar Boba,6.58,2,13.16
2026-01-09,Matcha Latte,4.8,3,14.4
2026-01-09,Classic Milk Tea,6.77,3,20.31
2026-01-09,Brown Sugar Boba,4.61,1,4.61
2026-01-10,Matcha Latte,5.6,2,11.2
2026-01-10,Thai Tea,6.74,1,6.74
2026-01-10,Taro Milk Tea,7.16,2,14.32
2026-01-10,Thai Tea,7.33,3,21.99
2026-01-10,Thai Tea,6.92,1,6.92
2026-01-10,Brown Sugar Boba,6.64,3,19.92
2026-01-10,Matcha Latte,4.74,2,9.48
2026-01-10,Thai Tea,6.89,1,6.89
2026-01-10,Classic Milk Tea,7.32,3,21.96
2026-01-10,Matcha Latte,6.02,3,18.06
2026-01-10,Brown Sugar Boba,5.3,1,5.3
2026-01-10,Taro Milk Tea,6.36,2,12.72
2026-01-10,Taro Milk Tea,4.89,1,4.89
2026-01-10,Taro Milk Tea,7.26,1,7.26
2026-01-10,Taro Milk Tea,4.67,1,4.67
2026-01-10,Matcha Latte,5.24,2,10.48
2026-01-10,Thai Tea,5.68,3,17.04
2026-01-10,Brown Sugar Boba,5.27,1,5.27
2026-01-10,Brown Sugar Boba,6.25,1,6.25
2026-01-10,Thai Tea,6.31,2,12.62
2026-01-10,Brown Sugar Boba,5.87,1,5.87
2026-01-10,Matcha Latte,5.85,3,17.55
2026-01-10,Taro Milk Tea,5.01,2,10.02
2026-01-10,Classic Milk Tea,6.11,2,12.22
2026-01-10,Classic Milk Tea,6.61,2,13.22
2026-01-10,Classic Milk Tea,6.58,1,6.58
2026-01-10,Matcha Latte,5.53,3,16.59
2026-01-10,Matcha Latte,6.78,3,20.34
2026-01-10,Brown Sugar Boba,6.2,3,18.6
2026-01-10,Thai Tea,5.31,2,10.62
2026-01-10,Matcha Latte,6.87,3,20.61
2026-01-10,Classic Milk Tea,6.68,2,13.36
2026-01-10,Taro Milk Tea,5.72,3,17.16
2026-01-11,Matcha Latte,4.55,2,9.1
2026-01-11,Classic Milk Tea,5.04,3,15.12
2026-01-11,Matcha Latte,6.01,2,12.02
2026-01-11,Thai Tea,5.9,3,17.7
2026-01-11,Thai Tea,6.22,2,12.44
2026-01-11,Brown Sugar Boba,4.91,3,14.73
2026-01-11,Taro Milk Tea,6.51,1,6.51
2026-01-11,Taro Milk Tea,5.47,1,5.47
2026-01-11,Brown Sugar Boba,6.47,1,6.47
2026-01-11,Taro Milk Tea,4.76,1,4.76
2026-01-11,Classic Milk Tea,6.32,1,6.32
2026-01-11,Brown Sugar Boba,4.8,3,14.4
2026-01-11,Thai Tea,5.18,2,10.36
2026-01-11,Brown Sugar Boba,7.13,2,14.26
2026-01-11,Taro Milk Tea,5.84,3,17.52
2026-01-11,Thai Tea,5.81,2,11.62
2026-01-11,Classic Milk Tea,7.25,2,14.5
2026-01-11,Brown Sugar Boba,5.97,2,11.94
2026-01-11,Classic Milk Tea,5.16,1,5.16
2026-01-11,Matcha Latte,5.65,1,5.65
2026-01-11,Taro Milk Tea,5.67,2,11.34
2026-01-11,Thai Tea,5.78,3,17.34
2026-01-11,Brown Sugar Boba,5.8,1,5.8
2026-01-11,Brown Sugar Boba,5.95,3,17.85
2026-01-11,Thai Tea,6.55,3,19.65
2026-01-11,Matcha Latte,7.07,3,21.21
2026-01-11,Matcha Latte,5.98,1,5.98
2026-01-11,Taro Milk Tea,7.47,1,7.47
2026-01-11,Brown Sugar Boba,5.33,2,10.66
2026-01-11,Brown Sugar Boba,6.38,1,6.38
2026-01-11,Classic Milk Tea,5.0,3,15.0
2026-01-11,Matcha Latte,7.14,2,14.28
2026-01-11,Matcha Latte,6.18,3,18.54
2026-01-11,Classic Milk Tea,6.55,3,19.65
2026-01-11,Classic Milk Tea,6.66,2,13.32
2026-01-11,Brown Sugar Boba,7.38,3,22.14
2026-01-11,Taro Milk Tea,6.93,3,20.79
2026-01-11,Thai Tea,6.52,1,6.52
2026-01-11,Matcha Latte,6.55,1,6.55
2026-01-11,Thai Tea,5.22,2,10.44
2026-01-12,Brown Sugar Boba,6.17,2,12.34
2026-01-12,Thai Tea,6.82,3,20.46
2026-01-12,Classic Milk Tea,6.1,1,6.1
2026-01-12,Classic Milk Tea,5.93,1,5.93
2026-01-12,Taro Milk Tea,5.83,3,17.49
2026-01-12,Classic Milk Tea,7.11,2,14.22
2026-01-12,Thai Tea,6.63,2,13.26
2026-01-12,Brown Sugar Boba,7.1,1,7.1
2026-01-12,Matcha Latte,6.34,3,19.02
2026-01-12,Thai Tea,6.89,2,13.78
2026-01-12,Brown Sugar Boba,6.67,2,13.34
2026-01-12,Brown Sugar Boba,5.83,1,5.83
2026-01-12,Thai Tea,5.91,3,17.73
2026-01-12,Taro Milk Tea,6.26,3,18.78
2026-01-12,Classic Milk Tea,6.4,2,12.8
2026-01-12,Thai Tea,4.94,3,14.82
2026-01-12,Classic Milk Tea,6.97,3,20.91
2026-01-12,Matcha Latte,6.08,2,12.16
2026-01-12,Thai Tea,5.9,2,11.8
2026-01-12,Brown Sugar Boba,4.69,2,9.38
2026-01-12,Matcha Latte,6.29,2,12.58
2026-01-12,Brown Sugar Boba,5.26,2,10.52
2026-01-12,Thai Tea,5.47,2,10.94
2026-01-12,Thai Tea,6.15,1,6.15
2026-01-12,Thai Tea,5.99,1,5.99
2026-01-12,Brown Sugar Boba,6.35,2,12.7
2026-01-12,Taro Milk Tea,4.5,2,9.0
2026-01-12,Thai Tea,5.38,2,10.76
2026-01-12,Matcha Latte,5.16,2,10.32
2026-01-12,Brown Sugar Boba,6.72,3,20.16
2026-01-12,Matcha Latte,5.21,3,15.63
2026-01-12,Thai Tea,5.94,1,5.94
2026-01-12,Taro Milk Tea,5.56,2,11.12
2026-01-12,Taro Milk Tea,5.47,2,10.94
2026-01-12,Matcha Latte,5.23,3,15.69
2026-01-12,Classic Milk Tea,5.49,3,16.47
2026-01-12,Thai Tea,6.69,3,20.07
2026-01-13,Brown Sugar Boba,4.9,2,9.8
2026-01-13,Thai Tea,6.94,3,20.82
2026-01-13,Matcha Latte,5.63,3,16.89
2026-01-13,Taro Milk Tea,6.06,2,12.12
2026-01-13,Thai Tea,5.02,2,10.04
2026-01-13,Classic Milk Tea,5.41,1,5.41
2026-01-13,Taro Milk Tea,5.2,1,5.2
2026-01-13,Classic Milk Tea,6.27,1,6.27
2026-01-13,Taro Milk Tea,5.82,2,11.64
2026-01-13,Matcha Latte,5.96,3,17.88
2026-01-13,Thai Tea,5.93,3,17.79
2026-01-13,Brown Sugar Boba,5.66,3,16.98
2026-01-13,Thai Tea,5.56,3,16.68
2026-01-13,Thai Tea,5.17,3,15.51
2026-01-13,Matcha Latte,5.86,3,17.58
2026-01-13,Taro Milk Tea,7.42,1,7.42
2026-01-13,Matcha Latte,6.61,3,19.83
2026-01-13,Thai Tea,4.5,1,4.5
2026-01-13,Thai Tea,4.96,1,4.96
2026-01-13,Matcha Latte,6.21,3,18.63
2026-01-13,Brown Sugar Boba,5.25,3,15.75
2026-01-13,Thai Tea,4.69,2,9.38
2026-01-13,Thai Tea,4.95,3,14.85
2026-01-13,Thai Tea,6.62,1,6.62
2026-01-13,Thai Tea,4.72,1,4.72
2026-01-13,Taro Milk Tea,7.37,3,22.11
2026-01-13,Thai Tea,4.7,3,14.1
2026-01-13,Thai Tea,6.19,3,18.57
2026-01-13,Matcha Latte,5.94,3,17.82
2026-01-13,Brown Sugar Boba,6.66,2,13.32
2026-01-13,Brown Sugar Boba,6.46,3,19.38
2026-01-13,Taro Milk Tea,6.19,3,18.57
2026-01-13,Matcha Latte,6.26,1,6.26
2026-01-13,Thai Tea,6.44,2,12.88
2026-01-13,Matcha Latte,5.78,1,5.78
2026-01-13,Brown Sugar Boba,6.9,3,20.7
2026-01-13,Thai Tea,5.83,1,5.83
2026-01-14,Brown Sugar Boba,6.81,1,6.81
2026-01-14,Classic Milk Tea,7.44,2,14.88
2026-01-14,Classic Milk Tea,6.91,1,6.91
2026-01-14,Thai Tea,5.88,2,11.76
2026-01-14,Matcha Latte,5.32,3,15.96
2026-01-14,Thai Tea,4.52,1,4.52
2026-01-14,Taro Milk Tea,6.56,3,19.68
2026-01-14,Thai Tea,5.04,2,10.08
2026-01-14,Classic Milk Tea,7.43,2,14.86
2026-01-14,Taro Milk Tea,6.93,2,13.86
2026-01-14,Taro Milk Tea,5.33,1,5.33
2026-01-14,Taro Milk Tea,7.39,2,14.78
2026-01-14,Thai Tea,7.01,1,7.01
2026-01-14,Thai Tea,4.75,2,9.5
2026-01-14,Matcha Latte,6.8,1,6.8
2026-01-14,Taro Milk Tea,7.05,1,7.05
2026-01-14,Taro Milk Tea,6.31,2,12.62
2026-01-14,Thai Tea,5.63,2,11.26
2026-01-14,Classic Milk Tea,7.02,3,21.06
2026-01-14,Thai Tea,6.99,2,13.98
2026-01-14,Brown Sugar Boba,4.81,3,14.43
2026-01-14,Classic Milk Tea,7.03,2,14.06
2026-01-14,Classic Milk Tea,6.8,3,20.4
2026-01-14,Matcha Latte,5.33,3,15.99
